taxa_name,hosts,place,latitude,longitude
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",China (Anhui,32.0,117.0
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Fujian,26.193218,118.2208721
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Guangxi,24.0,109.0
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Hainan,19.2000001,109.5999999
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Hebei,39.0000001,116.0
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Hunan,27.6662087,111.7487063
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Jiangsu,33.0000001,119.9999999
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Jiangxi,28.0,116.0
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Shanghai,31.2312707,121.4700152
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Sichuan,30.5000001,102.4999999
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",Zhejiang),29.0000001,119.9999999
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",New Zealand,-41.5000831,172.8344077
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.",USA,39.7837304,-100.445882
Hypomyces aureonitens,"Phlebia tremellosa, Polyporus sp.",China (Fujian,26.193218,118.2208721
Hypomyces aureonitens,"Phlebia tremellosa, Polyporus sp.",Guangxi),24.0,109.0
Hypomyces aureonitens,"Phlebia tremellosa, Polyporus sp.",Europe,51.0,10.0
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",Belgium,50.6402809,4.6667145
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",China (Taiwan),-7.1043002,-34.8361604
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",Guyana,4.8417097,-58.6416891
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",Indonesia,-2.4833826,117.8902853
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",New Zealand,-41.5000831,172.8344077
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae",USA,39.7837304,-100.445882
Hypomyces chrysospermus,"Boletus sp., Hemileccinum impolitum, Suillus americanus, Russula sp.",China (Fujian,26.193218,118.2208721
Hypomyces chrysospermus,"Boletus sp., Hemileccinum impolitum, Suillus americanus, Russula sp.",Jilin,43.7289674,126.1997366
Hypomyces chrysospermus,"Boletus sp., Hemileccinum impolitum, Suillus americanus, Russula sp.",Jiangsu),33.0000001,119.9999999
Hypomyces chrysospermus,"Boletus sp., Hemileccinum impolitum, Suillus americanus, Russula sp.",Russia,64.6863136,97.7453061
Hypomyces completiopsis,Boletus sp.,China (Yunnan),25.0,102.0
Hypomyces fistulina,Fistulina sp.,China (Guangxi),-8.8191074,13.2435036
Hypomyces hubeiensis,Agaricus sp.,China (Hubei),39.0000001,116.0
Hypomyces hyalinus,"Agaricales (Amanita sp.), Polyporales",Canada,61.0666922,-107.991707
Hypomyces hyalinus,"Agaricales (Amanita sp.), Polyporales",China (Jiangsu),33.0000001,119.9999999
Hypomyces hyalinus,"Agaricales (Amanita sp.), Polyporales",Japan,36.5748441,139.2394179
Hypomyces hyalinus,"Agaricales (Amanita sp.), Polyporales",USA,39.7837304,-100.445882
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",Canada,61.0666922,-107.991707
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",China (Tibet),31.6692025,87.473225
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",Europe,51.0,10.0
