taxa_name,hosts,distribution,latitude,longitude
Hypomyces aurantius,"Agaricus bisporus, Polyporales (Cymatoderma sp., Laetiporus sulphureus, Panellus sp., Polyporus picipes), Stereum sp.","China (Anhui, Fujian, Guangxi, Hainan, Hebei, Hunan, Jiangsu, Jiangxi, Shanghai, Sichuan, Zhejiang), New Zealand, USA",,
Hypomyces aureonitens,"Phlebia tremellosa, Polyporus sp.","China (Fujian, Guangxi), Europe",,
Hypomyces chlorinigenus,"Agaricaceae, Boletaceae","Belgium, China (Taiwan), Guyana, Indonesia, New Zealand, USA",,
Hypomyces chrysospermus,"Boletus sp., Hemileccinum impolitum, Suillus americanus, Russula sp.","China (Fujian, Jilin, Jiangsu), Russia",,
Hypomyces completiopsis,Boletus sp.,China (Yunnan),25.0,102.0
Hypomyces fistulina,Fistulina sp.,China (Guangxi),-8.8191074,13.2435036
Hypomyces hubeiensis,Agaricus sp.,China (Hubei),39.0000001,116.0
Hypomyces hyalinus,"Agaricales (Amanita sp.), Polyporales","Canada, China (Jiangsu), Japan, USA",,
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.","Canada, China (Tibet), Europe, Japan, Mexico, New Zealand, USA",,
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.","Canada, China (Inner Mongolia), Europe, Japan, Russia, USA",,
Hypomyces macrosporus,Russulaceae,"China (Hubei), Mexico, USA",,
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.","Canada, China (Fujian, Guizhou, Hainan, Hubei, Jilin, Taiwan, Yunnan), Indonesia, New Zealand, USA",,
Hypomyces mycophilus,"Auricularia sp., Bulgari sp., Marasmius sp., Polyporus sp., Trametes versicolor","China (Guangdong), USA",22.5377107,113.9655766
Hypomyces ochraceus,"Decaying leaves, wood and fungi (e.g., Russula sp.)","China (Guangxi, Yunnan), Europe, USA",,
Hypomyces orthosporus,Polyporales,"China (Tibet), Estonia, Finland, The Netherlands",,
Hypomyces papulasporae,"Geoglossum difforme, G. fallax, G. glabrum, G. nigritum, G. simile, Glutinoglossum glutinosum, Trichoglossum hirsutum, T. walteri","China, USA, New Zealand",,
Hypomyces polyporinus,"Auricularia auricula-judae, Polyporales, Trametes versicolor, T. pubescens, Polyporus sp.","Canada, China (Guangxi), USA",,
Hypomyces pseudolactifluorum sp. nov.,Russula sp.,China (Yunnan),25.0,102.0
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.","China (Gansu), Europe, Iran, Japan, Korea, USA",,
Hypomyces semicircularis,"Ganoderma sichuanense, Microporus xanthopus","Cuba, China",22.1883069,113.5493076
Hypomyces sibirinae,"Aphyllophorales, Boletus sp., Polyporales","China (Hunan), Indonesia, USA",,
Hypomyces sinicus,Schizophyllum sp.,China (Anhui),32.0,117.0
Hypomyces stephanomatis,"Humaria hemisphaerica, Humaria sp.","Canada, China (Hubei), Germany, USA",,
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)","China (Anhui, Beijing, Guangxi, Zhejiang), Cuba, Japan",,
Hypomyces succineus,Pholiota sp.,"China (Taiwan), USA",,
Hypomyces tegillum,"Aphyllophorales, Polyporales","Brazil, China (Guangxi, Yunnan), Panama, USA",,
Hypomyces triseptatus,Bark or associated with an ascomycete; Pyrenomycete,"China (Hunan, Guangdong), Gabon",,
Hypomyces yunnanensis,Boletus sp.,China (Yunnan),25.0,102.0
